UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
23532510,"Wycisk P, Stollberg R, Neumann C, Gossel W, Weiss H, Weber R",2013,Apr,Integrated methodology for assessing the HCH groundwater pollution at the multi-source contaminated mega-site Bitterfeld/Wolfen.,"Wycisk P, Stollberg R, Neumann C, Gossel W, Weiss H, Weber R.Integrated methodology for assessing the HCH groundwater pollution at the multi-source contaminated mega-site Bitterfeld/Wolfen. Environ Sci Pollut Res Int. 2013 Apr; 20(4):1907-17. "
23535633,"Gómez-Ramos MM, Ferrer C, Malato O, Agüera A, Fernández-Alba AR",2013,Apr,Liquid chromatography-high-resolution mass spectrometry for pesticide residue analysis in fruit and vegetables: screening and quantitative studies.,"Gómez-Ramos MM, Ferrer C, Malato O, Agüera A, Fernández-Alba AR.Liquid chromatography-high-resolution mass spectrometry for pesticide residue analysis in fruit and vegetables: screening and quantitative studies. J Chromatogr A. 2013 Apr 26; 1287:24-37. "
23539914,"Krunić O, Sorajić S",2013,Jan-Feb,[Balneological classification of mineral waters of Serbia].,"Krunić O, Sorajić S.[Balneological classification of mineral waters of Serbia]. Srp Arh Celok Lek. 2013 Jan-Feb; 141(1-2):72-80. "
23582026,"Watson KA, Mayer AS, Reeves HW",2014,Mar-Apr,Groundwater availability as constrained by hydrogeology and environmental flows.,"Watson KA, Mayer AS, Reeves HW.Groundwater availability as constrained by hydrogeology and environmental flows. Ground Water. 2014 Mar-Apr; 52(2):225-38. "
23582157,Butler JJ Jr,2014,Mar-Apr,Slug tests in wells screened across the water table: some additional considerations.,Butler JJ Jr.Slug tests in wells screened across the water table: some additional considerations. Ground Water. 2014 Mar-Apr; 52(2):311-6. 
23656936,"Fryd O, Backhaus A, Birch H, Fratini CF, Ingvertsen ST, Jeppesen J, Panduro TE, Roldin M, Jensen MB",2013,,"Water Sensitive Urban Design retrofits in Copenhagen - 40% to the sewer, 60% to the city.","Fryd O, Backhaus A, Birch H, Fratini CF, Ingvertsen ST, Jeppesen J, Panduro TE, Roldin M, Jensen MB.Water Sensitive Urban Design retrofits in Copenhagen - 40% to the sewer, 60% to the city. Water Sci Technol. 2013; 67(9):1945-52. "
23656943,"Fabbri P, Piccinini L",2013,,Assessing transmissivity from specific capacity in an alluvial aquifer in the middle Venetian plain (NE Italy).,"Fabbri P, Piccinini L.Assessing transmissivity from specific capacity in an alluvial aquifer in the middle Venetian plain (NE Italy). Water Sci Technol. 2013; 67(9):2000-8. "
23668138,"Wang XH, Wei JH, Cheng ZN, Liu PB, Ji YQ, Zhang G",2013,Feb,[Groundwater organic pollution source identification technology system research and application].,"Wang XH, Wei JH, Cheng ZN, Liu PB, Ji YQ, Zhang G.[Groundwater organic pollution source identification technology system research and application]. Huan Jing Ke Xue. 2013 Feb; 34(2):662-7. "
23707721,"Marković T, Brkić Ž, Larva O",2013,Aug,"Using hydrochemical data and modelling to enhance the knowledge of groundwater flow and quality in an alluvial aquifer of Zagreb, Croatia.","Marković T, Brkić Ž, Larva O.Using hydrochemical data and modelling to enhance the knowledge of groundwater flow and quality in an alluvial aquifer of Zagreb, Croatia. Sci Total Environ. 2013 Aug 1; 458-460:508-16. "
23771202,"Cox TJ, Rutherford JC, Kerr SC, Smeaton DC, Palliser CC",2013,Sep,An integrated model for simulating nitrogen trading in an agricultural catchment with complex hydrogeology.,"Cox TJ, Rutherford JC, Kerr SC, Smeaton DC, Palliser CC.An integrated model for simulating nitrogen trading in an agricultural catchment with complex hydrogeology. J Environ Manage. 2013 Sep 30; 127:268-77. "
23782328,"Malama B, Revil A",2014,Jul-Aug,Modeling transient streaming potentials in falling-head permeameter tests.,"Malama B, Revil A.Modeling transient streaming potentials in falling-head permeameter tests. Ground Water. 2014 Jul-Aug; 52(4):535-49. "
23798103,"Zhao W, Lin J, Wang SF, Liu JL, Chen ZR, Kou WJ",2013,Apr,[Influence of human activities on groundwater environment based on coefficient variation method].,"Zhao W, Lin J, Wang SF, Liu JL, Chen ZR, Kou WJ.[Influence of human activities on groundwater environment based on coefficient variation method]. Huan Jing Ke Xue. 2013 Apr; 34(4):1277-83. "
23810860,"Huang G, Sun J, Zhang Y, Chen Z, Liu F",2013,Oct,"Impact of anthropogenic and natural processes on the evolution of groundwater chemistry in a rapidly urbanized coastal area, South China.","Huang G, Sun J, Zhang Y, Chen Z, Liu F.Impact of anthropogenic and natural processes on the evolution of groundwater chemistry in a rapidly urbanized coastal area, South China. Sci Total Environ. 2013 Oct 1; 463-464:209-21. "
23837514,Schlesinger WH,2013,Sep-Oct,Translational ecology for hydrogeology.,Schlesinger WH.Translational ecology for hydrogeology. Ground Water. 2013 Sep-Oct; 51(5):661-2. 
23871559,"Rajski Ł, Lozano A, Uclés A, Ferrer C, Fernández-Alba AR",2013,Aug,Determination of pesticide residues in high oil vegetal commodities by using various multi-residue methods and clean-ups followed by liquid chromatography tandem mass spectrometry.,"Rajski Ł, Lozano A, Uclés A, Ferrer C, Fernández-Alba AR.Determination of pesticide residues in high oil vegetal commodities by using various multi-residue methods and clean-ups followed by liquid chromatography tandem mass spectrometry. J Chromatogr A. 2013 Aug 23; 1304:109-20. "
23872888,"Atanacković N, Dragišić V, Stojković J, Papić P, Zivanović V",2013,Nov,Hydrochemical characteristics of mine waters from abandoned mining sites in Serbia and their impact on surface water quality.,"Atanacković N, Dragišić V, Stojković J, Papić P, Zivanović V.Hydrochemical characteristics of mine waters from abandoned mining sites in Serbia and their impact on surface water quality. Environ Sci Pollut Res Int. 2013 Nov; 20(11):7615-26. "
23875669,"Pazzirota T, Martin L, Mezcua M, Ferrer C, Fernandez-Alba AR",2013,,Processing factor for a selected group of pesticides in a wine-making process: distribution of pesticides during grape processing.,"Pazzirota T, Martin L, Mezcua M, Ferrer C, Fernandez-Alba AR.Processing factor for a selected group of pesticides in a wine-making process: distribution of pesticides during grape processing. Food Addit Contam Part A Chem Anal Control Expo Risk Assess. 2013; 30(10):1752-60. "
23889085,"Vieweg M, Trauth N, Fleckenstein JH, Schmidt C",2013,Sep,Robust optode-based method for measuring in situ oxygen profiles in gravelly streambeds.,"Vieweg M, Trauth N, Fleckenstein JH, Schmidt C.Robust optode-based method for measuring in situ oxygen profiles in gravelly streambeds. Environ Sci Technol. 2013 Sep 3; 47(17):9858-65. "
23895143,"Greswell RB, Durand V, Aller MF, Riley MS, Tellam JH",2014,Jul-Aug,A method for conducting simultaneous convergent tracer tests in multilayered aquifers.,"Greswell RB, Durand V, Aller MF, Riley MS, Tellam JH.A method for conducting simultaneous convergent tracer tests in multilayered aquifers. Ground Water. 2014 Jul-Aug; 52(4):525-34. "
23895673,"Flewelling SA, Sharma M",2014,Jan-Feb,Constraints on upward migration of hydraulic fracturing fluid and brine.,"Flewelling SA, Sharma M.Constraints on upward migration of hydraulic fracturing fluid and brine. Ground Water. 2014 Jan-Feb; 52(1):9-19. "
23948235,"Mair A, El-Kadi AI",2013,Oct,"Logistic regression modeling to assess groundwater vulnerability to contamination in Hawaii, USA.","Mair A, El-Kadi AI.Logistic regression modeling to assess groundwater vulnerability to contamination in Hawaii, USA. J Contam Hydrol. 2013 Oct; 153:1-23. "
24020336,"Hanzel J, Myrold D, Sessitsch A, Smalla K, Tebbe CC, Totsche KU",2013,Oct,"Microbial ecology of biogeochemical interfaces - diversity, structure, and function of microhabitats in soil.","Hanzel J, Myrold D, Sessitsch A, Smalla K, Tebbe CC, Totsche KU.Microbial ecology of biogeochemical interfaces - diversity, structure, and function of microhabitats in soil. FEMS Microbiol Ecol. 2013 Oct; 86(1):1-2. "
24053663,"Jeannottat S, Hunkeler D",2013,,Can soil gas VOCs be related to groundwater plumes based on their isotope signature?,"Jeannottat S, Hunkeler D.Can soil gas VOCs be related to groundwater plumes based on their isotope signature? Environ Sci Technol. 2013; 47(21):12115-22. "
24064550,"Diem S, Rudolf von Rohr M, Hering JG, Kohler HP, Schirmer M, von Gunten U",2013,Nov,NOM degradation during river infiltration: effects of the climate variables temperature and discharge.,"Diem S, Rudolf von Rohr M, Hering JG, Kohler HP, Schirmer M, von Gunten U.NOM degradation during river infiltration: effects of the climate variables temperature and discharge. Water Res. 2013 Nov 1; 47(17):6585-95. "
24077094,"Burke V, Treumann S, Duennbier U, Greskowiak J, Massmann G",2013,Nov,Sorption behavior of 20 wastewater originated micropollutants in groundwater--column experiments with pharmaceutical residues and industrial agents.,"Burke V, Treumann S, Duennbier U, Greskowiak J, Massmann G.Sorption behavior of 20 wastewater originated micropollutants in groundwater--column experiments with pharmaceutical residues and industrial agents. J Contam Hydrol. 2013 Nov; 154:29-41. "
24095995,"Folch A, Vilaplana M, Amado L, Vicent T, Caminal G",2013,Nov,Fungal permeable reactive barrier to remediate groundwater in an artificial aquifer.,"Folch A, Vilaplana M, Amado L, Vicent T, Caminal G.Fungal permeable reactive barrier to remediate groundwater in an artificial aquifer. J Hazard Mater. 2013 Nov 15; 262:554-60. "
24112070,"Banning A, Demmel T, Rüde TR, Wrobel M",2013,Dec,Groundwater uranium origin and fate control in a river valley aquifer.,"Banning A, Demmel T, Rüde TR, Wrobel M.Groundwater uranium origin and fate control in a river valley aquifer. Environ Sci Technol. 2013 Dec 17; 47(24):13941-8. "
24116713,"Wallender EK, Ailes EC, Yoder JS, Roberts VA, Brunkard JM",2014,Nov-Dec,Contributing factors to disease outbreaks associated with untreated groundwater.,"Wallender EK, Ailes EC, Yoder JS, Roberts VA, Brunkard JM.Contributing factors to disease outbreaks associated with untreated groundwater. Ground Water. 2014 Nov-Dec; 52(6):886-97. "
24121592,"Angulo B, Morales T, Uriarte JA, Antigüedad I",2013,Nov,Implementing a comprehensive approach for evaluating significance and disturbance in protected karst areas to guide management strategies.,"Angulo B, Morales T, Uriarte JA, Antigüedad I.Implementing a comprehensive approach for evaluating significance and disturbance in protected karst areas to guide management strategies. J Environ Manage. 2013 Nov 30; 130:386-96. "
24135090,"Raychoudhury T, Scheytt T",2013,,Potential of zerovalent iron nanoparticles for remediation of environmental organic contaminants in water: a review.,"Raychoudhury T, Scheytt T.Potential of zerovalent iron nanoparticles for remediation of environmental organic contaminants in water: a review. Water Sci Technol. 2013; 68(7):1425-39. "
24140858,"Katsanou K, Siavalas G, Lambrakis N",2013,Dec,"Geochemical controls on fluoriferous groundwaters of the Pliocene and the more recent aquifers: the case of Aigion region, Greece.","Katsanou K, Siavalas G, Lambrakis N.Geochemical controls on fluoriferous groundwaters of the Pliocene and the more recent aquifers: the case of Aigion region, Greece. J Contam Hydrol. 2013 Dec; 155:55-68. "
24147737,"Cuthbert MO, McMillan LA, Handley-Sidhu S, Riley MS, Tobler DJ, Phoenix VR",2013,,A field and modeling study of fractured rock permeability reduction using microbially induced calcite precipitation.,"Cuthbert MO, McMillan LA, Handley-Sidhu S, Riley MS, Tobler DJ, Phoenix VR.A field and modeling study of fractured rock permeability reduction using microbially induced calcite precipitation. Environ Sci Technol. 2013; 47(23):13637-43. "
24197960,Qvarfort U,1992,Oct,The high occurrence of arsenic in macadam products from an iron mine in central Sweden: Significance for environmental contamination.,Qvarfort U.The high occurrence of arsenic in macadam products from an iron mine in central Sweden: Significance for environmental contamination. Environ Geochem Health. 1992 Oct; 14(3):87-90. 
24236887,"Beaujean J, Lemieux JM, Dassargues A, Therrien R, Brouyère S",2014,Nov-Dec,Physically based groundwater vulnerability assessment using sensitivity analysis methods.,"Beaujean J, Lemieux JM, Dassargues A, Therrien R, Brouyère S.Physically based groundwater vulnerability assessment using sensitivity analysis methods. Ground Water. 2014 Nov-Dec; 52(6):864-74. "
24238917,"Smith GM, Smith KL, Kowe R, Pérez-Sánchez D, Thorne M, Thiry Y, Read D, Molinero J",2014,May,Recent developments in assessment of long-term radionuclide behavior in the geosphere-biosphere subsystem.,"Smith GM, Smith KL, Kowe R, Pérez-Sánchez D, Thorne M, Thiry Y, Read D, Molinero J.Recent developments in assessment of long-term radionuclide behavior in the geosphere-biosphere subsystem. J Environ Radioact. 2014 May; 131:89-109. "
24270159,"Henzler AF, Greskowiak J, Massmann G",2014,Jan,"Modeling the fate of organic micropollutants during river bank filtration (Berlin, Germany).","Henzler AF, Greskowiak J, Massmann G.Modeling the fate of organic micropollutants during river bank filtration (Berlin, Germany). J Contam Hydrol. 2014 Jan; 156:78-92. "
24274272,"Lozano A, Rajski Ł, Uclés S, Belmonte-Valles N, Mezcua M, Fernández-Alba AR",2014,Jan,Evaluation of zirconium dioxide-based sorbents to decrease the matrix effect in avocado and almond multiresidue pesticide analysis followed by gas chromatography tandem mass spectrometry.,"Lozano A, Rajski Ł, Uclés S, Belmonte-Valles N, Mezcua M, Fernández-Alba AR.Evaluation of zirconium dioxide-based sorbents to decrease the matrix effect in avocado and almond multiresidue pesticide analysis followed by gas chromatography tandem mass spectrometry. Talanta. 2014 Jan; 118:68-83. "
24294719,González De Posada F,2012,,[Groundwater].,González De Posada F.[Groundwater]. An R Acad Nac Med (Madr). 2012; 129(1):105-21. 
24305150,"Post VE, Groen J, Kooi H, Person M, Ge S, Edmunds WM",2013,Dec,Offshore fresh groundwater reserves as a global phenomenon.,"Post VE, Groen J, Kooi H, Person M, Ge S, Edmunds WM.Offshore fresh groundwater reserves as a global phenomenon. Nature. 2013 Dec 5; 504(7478):71-8. "
24316751,"Zhang Q, Wang X, Hou P, Wan W, Li R, Ren Y, Ouyang Z",2014,Jan,"Quality and seasonal variation of rainwater harvested from concrete, asphalt, ceramic tile and green roofs in Chongqing, China.","Zhang Q, Wang X, Hou P, Wan W, Li R, Ren Y, Ouyang Z.Quality and seasonal variation of rainwater harvested from concrete, asphalt, ceramic tile and green roofs in Chongqing, China. J Environ Manage. 2014 Jan; 132:178-87. "
24345245,"Huang S, Liu C, Wang Y, Zhan H",2014,,Multivariate analysis of the heterogeneous geochemical processes controlling arsenic enrichment in a shallow groundwater system.,"Huang S, Liu C, Wang Y, Zhan H.Multivariate analysis of the heterogeneous geochemical processes controlling arsenic enrichment in a shallow groundwater system. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2014; 49(4):478-89. "
24360256,"Bouchard D, Hunkeler D",2014,Jan,Solvent-based dissolution method to sample gas-phase volatile organic compounds for compound-specific isotope analysis.,"Bouchard D, Hunkeler D.Solvent-based dissolution method to sample gas-phase volatile organic compounds for compound-specific isotope analysis. J Chromatogr A. 2014 Jan 17; 1325:16-22. "
24364428,"Walczak M, Krawiec A, Lalke-Porczyk E",2013,,Legionella pneumophilla bacteria in thermal saline bath.,"Walczak M, Krawiec A, Lalke-Porczyk E.Legionella pneumophilla bacteria in thermal saline bath. Ann Agric Environ Med. 2013; 20(4):649-52. "
24365588,"Hebig KH, Nödler K, Licha T, Scheytt TJ",2014,Mar,Impact of materials used in lab and field experiments on the recovery of organic micropollutants.,"Hebig KH, Nödler K, Licha T, Scheytt TJ.Impact of materials used in lab and field experiments on the recovery of organic micropollutants. Sci Total Environ. 2014 Mar 1; 473-474:125-31. "
24377317,"Breider F, Hunkeler D",2014,,Investigating chloroperoxidase-catalyzed formation of chloroform from humic substances using stable chlorine isotope analysis.,"Breider F, Hunkeler D.Investigating chloroperoxidase-catalyzed formation of chloroform from humic substances using stable chlorine isotope analysis. Environ Sci Technol. 2014; 48(3):1592-600. "
24384376,"Santiago-Morales J, Rosal R, Hernando MD, Ulaszewska MM, García-Calvo E, Fernández-Alba AR",2014,Feb,Fate and transformation products of amine-terminated PAMAM dendrimers under ozonation and irradiation.,"Santiago-Morales J, Rosal R, Hernando MD, Ulaszewska MM, García-Calvo E, Fernández-Alba AR.Fate and transformation products of amine-terminated PAMAM dendrimers under ozonation and irradiation. J Hazard Mater. 2014 Feb 15; 266:102-13. "
24389393,"Neukum C, Braun A, Azzam R",2014,Mar,Transport of stabilized engineered silver (Ag) nanoparticles through porous sandstones.,"Neukum C, Braun A, Azzam R.Transport of stabilized engineered silver (Ag) nanoparticles through porous sandstones. J Contam Hydrol. 2014 Mar; 158:1-13. "
24433472,"Hunt RJ, Borchardt MA, Bradbury KR",2014,Mar-Apr,Viruses as groundwater tracers: using ecohydrology to characterize short travel times in aquifers.,"Hunt RJ, Borchardt MA, Bradbury KR.Viruses as groundwater tracers: using ecohydrology to characterize short travel times in aquifers. Ground Water. 2014 Mar-Apr; 52(2):187-93. "
24437700,"Mezga K, Urbanc J, Cerar S",2014,,The isotope altitude effect reflected in groundwater: a case study from Slovenia.,"Mezga K, Urbanc J, Cerar S.The isotope altitude effect reflected in groundwater: a case study from Slovenia. Isotopes Environ Health Stud. 2014; 50(1):33-51. "
24453882,"Yidana SM, Fynn OF, Chegbeleh LP, Nude PM, Asiedu DK",2013,Dec,Hydrogeological conditions of a crystalline aquifer: simulation of optimal abstraction rates under scenarios of reduced recharge.,"Yidana SM, Fynn OF, Chegbeleh LP, Nude PM, Asiedu DK.Hydrogeological conditions of a crystalline aquifer: simulation of optimal abstraction rates under scenarios of reduced recharge. ScientificWorldJournal. 2013 Dec 17; 2013:606375. "
24453928,"Cerar S, Urbanc J",2013,Dec,Carbonate chemistry and isotope characteristics of groundwater of Ljubljansko polje and Ljubljansko Barje aquifers in Slovenia.,"Cerar S, Urbanc J.Carbonate chemistry and isotope characteristics of groundwater of Ljubljansko polje and Ljubljansko Barje aquifers in Slovenia. ScientificWorldJournal. 2013 Dec 21; 2013:948394. "
24486501,"Tedd KM, Coxon CE, Misstear BD, Daly D, Craig M, Mannix A, Williams NH",2014,Apr,An integrated pressure and pathway approach to the spatial analysis of groundwater nitrate: a case study from the southeast of Ireland.,"Tedd KM, Coxon CE, Misstear BD, Daly D, Craig M, Mannix A, Williams NH.An integrated pressure and pathway approach to the spatial analysis of groundwater nitrate: a case study from the southeast of Ireland. Sci Total Environ. 2014 Apr 1; 476-477:460-76. "
24496031,"Matiatos I, Alexopoulos A, Godelitsas A",2014,Apr,Multivariate statistical analysis of the hydrogeochemical and isotopic composition of the groundwater resources in northeastern Peloponnesus (Greece).,"Matiatos I, Alexopoulos A, Godelitsas A.Multivariate statistical analysis of the hydrogeochemical and isotopic composition of the groundwater resources in northeastern Peloponnesus (Greece). Sci Total Environ. 2014 Apr 1; 476-477:577-90. "
24559936,"Broholm MM, Hunkeler D, Tuxen N, Jeannottat S, Scheutz C",2014,Aug,"Stable carbon isotope analysis to distinguish biotic and abiotic degradation of 1,1,1-trichloroethane in groundwater sediments.","Broholm MM, Hunkeler D, Tuxen N, Jeannottat S, Scheutz C.Stable carbon isotope analysis to distinguish biotic and abiotic degradation of 1,1,1-trichloroethane in groundwater sediments. Chemosphere. 2014 Aug; 108:265-73. "
24607450,"Majone M, Verdini R, Aulenta F, Rossetti S, Tandoi V, Kalogerakis N, Agathos S, Puig S, Zanaroli G, Fava F",2015,Jan,In situ groundwater and sediment bioremediation: barriers and perspectives at European contaminated sites.,"Majone M, Verdini R, Aulenta F, Rossetti S, Tandoi V, Kalogerakis N, Agathos S, Puig S, Zanaroli G, Fava F.In situ groundwater and sediment bioremediation: barriers and perspectives at European contaminated sites. N Biotechnol. 2015 Jan 25; 32(1):133-46. "
24642095,"Burke V, Greskowiak J, Asmuß T, Bremermann R, Taute T, Massmann G",2014,Jun,Temperature dependent redox zonation and attenuation of wastewater-derived organic micropollutants in the hyporheic zone.,"Burke V, Greskowiak J, Asmuß T, Bremermann R, Taute T, Massmann G.Temperature dependent redox zonation and attenuation of wastewater-derived organic micropollutants in the hyporheic zone. Sci Total Environ. 2014 Jun 1; 482-483:53-61. "
24705813,"Zhang Y, Ma R, Li Z",2014,Aug,"Human health risk assessment of groundwater in Hetao Plain (Inner Mongolia Autonomous Region, China).","Zhang Y, Ma R, Li Z.Human health risk assessment of groundwater in Hetao Plain (Inner Mongolia Autonomous Region, China). Environ Monit Assess. 2014 Aug; 186(8):4669-84. "
24748026,"Sweijen T, Hartog N, Marsman A, Keijzer TJ",2014,Jun,The transport behaviour of elemental mercury DNAPL in saturated porous media: analysis of field observations and two-phase flow modelling.,"Sweijen T, Hartog N, Marsman A, Keijzer TJ.The transport behaviour of elemental mercury DNAPL in saturated porous media: analysis of field observations and two-phase flow modelling. J Contam Hydrol. 2014 Jun; 161:24-34. "
24802268,"Xiong W, Bernesky R, Bechard R, Michaud G, Lang J",2014,Jul,A tiered approach to distinguish sources of gasoline and diesel spills.,"Xiong W, Bernesky R, Bechard R, Michaud G, Lang J.A tiered approach to distinguish sources of gasoline and diesel spills. Sci Total Environ. 2014 Jul 15; 487:452-62. "
24806545,"Hynds PD, Thomas MK, Pintar KD",2014,May,"Contamination of groundwater systems in the US and Canada by enteric pathogens, 1990-2013: a review and pooled-analysis.","Hynds PD, Thomas MK, Pintar KD.Contamination of groundwater systems in the US and Canada by enteric pathogens, 1990-2013: a review and pooled-analysis. PLoS One. 2014 May 7; 9(5):e93301. "
24821436,"Zemann M, Wolf L, Pöschko A, Schmidt N, Sawarieh A, Seder N, Tiehm A, Hötzl H, Goldscheider N",2014,Aug,"Sources and processes affecting the spatio-temporal distribution of pharmaceuticals and X-ray contrast media in the water resources of the Lower Jordan Valley, Jordan.","Zemann M, Wolf L, Pöschko A, Schmidt N, Sawarieh A, Seder N, Tiehm A, Hötzl H, Goldscheider N.Sources and processes affecting the spatio-temporal distribution of pharmaceuticals and X-ray contrast media in the water resources of the Lower Jordan Valley, Jordan. Sci Total Environ. 2014 Aug 1; 488-489:100-14. "
24840309,Boving T,2014,Jul,Forensic analysis of MTBE contamination using basic hydrogeologic concepts.,Boving T.Forensic analysis of MTBE contamination using basic hydrogeologic concepts. J Forensic Sci. 2014 Jul; 59(4):967-73. 
24841501,"Musgrove M, Katz BG, Fahlquist LS, Crandall CA, Lindgren RJ",2014,Sep,Factors affecting public-supply well vulnerability in two karst aquifers.,"Musgrove M, Katz BG, Fahlquist LS, Crandall CA, Lindgren RJ.Factors affecting public-supply well vulnerability in two karst aquifers. Ground Water. 2014 Sep; 52 Suppl 1:63-75. "
24860846,"Karadimitriou NK, Nuske P, Kleingeld PJ, Hassanizadeh SM, Helmig R",2014,Jul,Simultaneous thermal and optical imaging of two-phase flow in a micro-model.,"Karadimitriou NK, Nuske P, Kleingeld PJ, Hassanizadeh SM, Helmig R.Simultaneous thermal and optical imaging of two-phase flow in a micro-model. Lab Chip. 2014 Jul 21; 14(14):2515-24. "
24861238,"Wan W, Manning WJ, Wang X, Zhang H, Sun X, Zhang Q",2014,Aug,"Ozone and ozone injury on plants in and around Beijing, China.","Wan W, Manning WJ, Wang X, Zhang H, Sun X, Zhang Q.Ozone and ozone injury on plants in and around Beijing, China. Environ Pollut. 2014 Aug; 191:215-22. "
24973780,"Pinti DL, Retailleau S, Barnetche D, Moreira F, Moritz AM, Larocque M, Gélinas Y, Lefebvre R, Hélie JF, Valadez A",2014,Oct,"(222)Rn activity in groundwater of the St. Lawrence Lowlands, Quebec, eastern Canada: relation with local geology and health hazard.","Pinti DL, Retailleau S, Barnetche D, Moreira F, Moritz AM, Larocque M, Gélinas Y, Lefebvre R, Hélie JF, Valadez A.(222)Rn activity in groundwater of the St. Lawrence Lowlands, Quebec, eastern Canada: relation with local geology and health hazard. J Environ Radioact. 2014 Oct; 136:206-17. "
24992462,"Manousakas M, Papaefthymiou H, Eleftheriadis K, Katsanou K",2014,Sep,Determination of water-soluble and insoluble elements in PM2.5 by ICP-MS.,"Manousakas M, Papaefthymiou H, Eleftheriadis K, Katsanou K.Determination of water-soluble and insoluble elements in PM2.5 by ICP-MS. Sci Total Environ. 2014 Sep 15; 493:694-700. "
24996854,"Kværner J, Eklo OM, Solbakken E, Solberg I, Sorknes S",2014,Nov,An integrated approach for assessing influence of agricultural activities on pesticides in a shallow aquifer in south-eastern Norway.,"Kværner J, Eklo OM, Solbakken E, Solberg I, Sorknes S.An integrated approach for assessing influence of agricultural activities on pesticides in a shallow aquifer in south-eastern Norway. Sci Total Environ. 2014 Nov 15; 499:520-32. "
24996949,"Huang G, Chen Z, Liu F, Sun J, Wang J",2014,Nov,Impact of human activity and natural processes on groundwater arsenic in an urbanized area (South China) using multivariate statistical techniques.,"Huang G, Chen Z, Liu F, Sun J, Wang J.Impact of human activity and natural processes on groundwater arsenic in an urbanized area (South China) using multivariate statistical techniques. Environ Sci Pollut Res Int. 2014 Nov; 21(22):13043-54. "
24997925,"Obiri-Nyarko F, Grajales-Mesa SJ, Malina G",2014,Sep,An overview of permeable reactive barriers for in situ sustainable groundwater remediation.,"Obiri-Nyarko F, Grajales-Mesa SJ, Malina G.An overview of permeable reactive barriers for in situ sustainable groundwater remediation. Chemosphere. 2014 Sep; 111:243-59. "
25000152,"Badin A, Buttet G, Maillard J, Holliger C, Hunkeler D",2014,Aug,Multiple dual C-Cl isotope patterns associated with reductive dechlorination of tetrachloroethene.,"Badin A, Buttet G, Maillard J, Holliger C, Hunkeler D.Multiple dual C-Cl isotope patterns associated with reductive dechlorination of tetrachloroethene. Environ Sci Technol. 2014 Aug 19; 48(16):9179-86. "
25010210,"Palau J, Cretnik S, Shouakar-Stash O, Höche M, Elsner M, Hunkeler D",2014,Aug,"C and Cl isotope fractionation of 1,2-dichloroethane displays unique δ¹³C/δ³⁷Cl patterns for pathway identification and reveals surprising C-Cl bond involvement in microbial oxidation.","Palau J, Cretnik S, Shouakar-Stash O, Höche M, Elsner M, Hunkeler D.C and Cl isotope fractionation of 1,2-dichloroethane displays unique δ¹³C/δ³⁷Cl patterns for pathway identification and reveals surprising C-Cl bond involvement in microbial oxidation. Environ Sci Technol. 2014 Aug 19; 48(16):9430-7. "
25029502,"Gooddy DC, Macdonald DM, Lapworth DJ, Bennett SA, Griffiths KJ",2014,Oct,"Nitrogen sources, transport and processing in peri-urban floodplains.","Gooddy DC, Macdonald DM, Lapworth DJ, Bennett SA, Griffiths KJ.Nitrogen sources, transport and processing in peri-urban floodplains. Sci Total Environ. 2014 Oct 1; 494-495:28-38. "
25041733,"Carrey R, Rodríguez-Escales P, Otero N, Ayora C, Soler A, Gómez-Alday JJ",2014,Aug,Nitrate attenuation potential of hypersaline lake sediments in central Spain: flow-through and batch experiments.,"Carrey R, Rodríguez-Escales P, Otero N, Ayora C, Soler A, Gómez-Alday JJ.Nitrate attenuation potential of hypersaline lake sediments in central Spain: flow-through and batch experiments. J Contam Hydrol. 2014 Aug; 164:323-37. "
25085618,"Kaprara E, Kazakis N, Simeonidis K, Coles S, Zouboulis AI, Samaras P, Mitrakas M",2015,Jan,Occurrence of Cr(VI) in drinking water of Greece and relation to the geological background.,"Kaprara E, Kazakis N, Simeonidis K, Coles S, Zouboulis AI, Samaras P, Mitrakas M.Occurrence of Cr(VI) in drinking water of Greece and relation to the geological background. J Hazard Mater. 2015 Jan 8; 281:2-11. "
25106837,"von Freyberg J, Radny D, Gall HE, Schirmer M",2014,Nov,Implications of hydrologic connectivity between hillslopes and riparian zones on streamflow composition.,"von Freyberg J, Radny D, Gall HE, Schirmer M.Implications of hydrologic connectivity between hillslopes and riparian zones on streamflow composition. J Contam Hydrol. 2014 Nov 15; 169:62-74. "
25108769,"Rajski Ł, Gómez-Ramos Mdel M, Fernández-Alba AR",2014,Sep,Large pesticide multiresidue screening method by liquid chromatography-Orbitrap mass spectrometry in full scan mode applied to fruit and vegetables.,"Rajski Ł, Gómez-Ramos Mdel M, Fernández-Alba AR.Large pesticide multiresidue screening method by liquid chromatography-Orbitrap mass spectrometry in full scan mode applied to fruit and vegetables. J Chromatogr A. 2014 Sep 19; 1360:119-27. "
25128888,"Tong L, Huang S, Wang Y, Liu H, Li M",2014,Nov,"Occurrence of antibiotics in the aquatic environment of Jianghan Plain, central China.","Tong L, Huang S, Wang Y, Liu H, Li M.Occurrence of antibiotics in the aquatic environment of Jianghan Plain, central China. Sci Total Environ. 2014 Nov 1; 497-498:180-7. "
